"35 0 0", 0 C1 32.7;
"39 20 0", 1 C#1/Db1 34.65;
"43 43 0", 2 D1 36.71;
"25 47 0", 3 D#1/Eb1 38.89;
"0 53 7", 4 E1 41.2;
"0 57 30", 5 F1 43.65;
"0 54 61", 6 F#1/Gb1 46.25;
"0 33 65", 7 G1 49.;
"0 0 69", 8 G#1/Ab1 51.91;
"49 0 75", 9 A1 55.;
"79 0 71", 10 A#1/Bb1 58.27;
"81 0 36", 11 B1 61.74;
"87 10 0", 12 C2 65.41;
"91 57 0", 13 C#2/Db2 69.3;
"83 95 0", 14 D2 73.42;
"41 99 0", 15 D#2/Eb2 77.78;
"0 103 13", 16 E2 82.41;
"0 107 67", 17 F2 87.31;
"0 100 113", 18 F#2/Gb2 92.5;
"0 51 115", 19 G2 98.;
"12 0 121", 20 G#2/Ab2 103.83;
"82 0 125", 21 A2 110.;
"129 0 115", 22 A#2/Bb2 116.54;
"111 0 48", 23 B2 123.47;
"136 15 0", 24 C3 130.81;
"141 89 0", 25 C#3/Db3 138.59;
"138 146 0", 26 D3 146.83;
"54 151 0", 27 D#3/Eb3 155.56;
"0 154 19", 28 E3 164.81;
"0 158 100", 29 F3 174.61;
"0 144 163", 30 F#3/Gb3 185.;
"0 63 167", 31 G3 196.;
"21 0 171", 32 G#3/Ab3 207.65;
"115 0 176", 33 A3 220.;
"181 0 153", 34 A#3/Bb3 233.08;
"183 0 69", 35 B3 246.94;
"188 30 0", 36 C4 261.63;
"193 131 0", 37 C#4/Db4 277.18;
"167 195 0", 38 D4 293.66;
"68 201 0", 39 D#4/Eb4 311.13;
"0 203 31", 40 E4 329.63;
"0 210 140", 41 F4 349.23;
"0 185 215", 42 F#4/Gb4 369.99;
"0 80 218", 43 G4 392.;
"33 0 233", 44 G#4/Ab4 415.3;
"148 0 226", 45 A4 440.;
"231 0 195", 46 A#4/Bb4 466.16;
"233 0 82", 47 B4 493.88;
"238 38 0", 48 C5 523.25;
"245 167 0", 49 C#5/Db5 554.37;
"204 247 0", 50 D5 587.33;
"85 253 0", 51 D#5/Eb5 622.25;
"0 253 40", 52 E5 659.25;
"5 253 172", 53 F5 698.46;
"10 215 255", 54 F#5/Gb5 739.99;
"13 95 253", 55 G5 783.99;
"53 18 255", 56 G#5/Ab5 830.61;
"172 24 255", 57 A5 880.;
"255 28 220", 58 A#5/Bb5 932.33;
"255 32 110", 59 B5 987.77;
"255 72 36", 60 C6 1046.5;
"255 186 40", 61 C#6/Db6 1108.73;
"219 255 44", 62 D6 1174.66;
"118 255 48", 63 D#6/Eb6 1244.51;
"52 255 84", 64 E6 1318.51;
"58 255 190", 65 F6 1396.91;
"62 223 255", 66 F#6/Gb6 1479.98;
"66 131 255", 67 G6 1567.98;
"97 70 255", 68 G#6/Ab6 1661.22;
"194 74 255", 69 A6 1760.;
"255 78 227", 70 A#6/Bb6 1864.66;
"255 82 143", 71 B6 1975.53;
"255 114 86", 72 C7 2093.;
"255 203 92", 73 C#7/Db7 2217.46;
"228 255 96", 74 D7 2349.32;
"152 255 100", 75 D#7/Eb7 2489.02;
"104 255 127", 76 E7 2637.02;
"108 255 207", 77 F7 2793.83;
"112 232 255", 78 F#7/Gb7 2959.96;
"116 164 255", 79 G7 3135.96;
"140 120 255", 80 G#7/Ab7 3322.44;
"211 126 255", 81 A7 3520.;
"255 130 236", 82 A#7/Bb7 3729.31;
"255 134 177", 83 B7 3951.07;
"255 157 138", 84 C8 4186.01;
"255 219 142", 85 C#8/Db8 4434.92;
"237 255 146", 86 D8 4698.63;
"186 255 150", 87 D#8/Eb8 4978.03;
"154 255 169", 88 E8 5274.04;
"160 255 224", 89 F8 5587.65;
"164 240 255", 90 F#8/Gb8 5919.91;
"168 198 255", 91 G8 6271.93;
"184 172 255", 92 G#8/Ab8 6644.88;
"228 176 255", 93 A8 7040.;
"255 180 244", 94 A#8/Bb8 7458.62;
"255 184 209", 95 B8 7902.13;
