"35 0 0", "C1" 32.70 ;
"39 20 0", "C#1/Db1" 34.65;
"43 43 0", "D1" 36.71;
"25 47 0", "D#1/Eb1" 38.89;
"0 53 7", "E1" 41.20;
"0 57 30", "F1" 43.65;
"0 54 61", "F#1/Gb1" 46.25;
"0 33 65", "G1" 49.00;
"0 0 69", "G#1/Ab1" 51.91;
"49 0 75", "A1" 55.00;
"79 0 71", "A#1/Bb1" 58.27;
"81 0 36", "B1" 61.74;
"87 10 0", "C2" 65.41;
"91 57 0", "C#2/Db2" 69.30;
"83 95 0", "D2" 73.42;
"41 99 0", "D#2/Eb2" 77.78;
"0 103 13", "E2" 82.41;	
"0 107 67", "F2" 87.31;
"0 100 113", "F#2/Gb2" 92.50;
"0 51 115", "G2" 98.00;
"12 0 121", "G#2/Ab2" 103.83;
"83 0 125", "A2" 110.00;
"129 0 115", "A#2/Bb2" 116.54;
"113 0 50", "B2" 123.47;
"137 16 0", "C3" 130.81;
"141 89 0", "C#3/Db3" 138.59;
"129 147 0", "D3" 146.83;
"54 151 0", "D#3/Eb3" 155.56;
"0 155 20", "E3" 164.81;
"0 159 99", "F3" 174.61;
"0 144 163", "F#3/Gb3" 185.00;
"0 65 167", "G3" 196.00;
"21 0 171", "G#3/Ab3" 207.65;
"117 0 177", "A3" 220.00;
"181 0 153", "A#3/Bb3" 233.08;
"185 0 70", "B3" 246.94;
"189 31 0", "C4" 261.63;
"193 131 0", "C#4/Db4" 277.18;
"168 197 0", "D4" 293.66;
"68 201 0", "D#4/Eb4" 311.13;
"0 205 32", "E4" 329.63;
"0 211 142", "F4" 349.23;
"0 185 215", "F#4/Gb4" 369.99;
"0 80 219", "G4" 392.00;
"33 0 233", "G#4/Ab4" 415.30;
"151 0 227", "A4" 440.00;
"231 0 195", "A#4/Bb4" 466.16;
"235 0 83", "B4" 493.88;
"239 39 0", "C5" 523.25;
"245 167 0", "C#5/Db5" 554.37;
"206 249 0", "D5" 587.33;
"85 253 0", "D#5/Eb5" 622.25;
"2 255 42", "E5" 659.25;
"6 255 173", "F5" 698.46;
"10 215 255", "F#5/Gb5" 739.99;
"14 97 255", "G5" 783.99;
"53 18 255", "G#5/Ab5" 830.61;
"172 24 255", "A5" 880.00;
"255 28 220", "A#5/Bb5" 932.33;
"255 32 110", "B5" 987.77;
"255 72 36", "C6" 1046.50;
"255 186 40", "C#6/Db6" 1108.73;
"219 255 44", "D6" 1174.66;
"118 255 48", "D#6/Eb6" 1244.51;
"52 255 84", "E6" 1318.51;
"58 255 190", "F6" 1396.91;
"62 223 255", "F#6/Gb6" 1479.98;
"66 131 255", "G6" 1567.98;
"97 70 255", "G#6/Ab6" 1661.22;
"194 74 255", "A6" 1760.00;
"255 78 227", "A#6/Bb6" 1864.66;
"255 82 143", "B6" 1975.53;
"255 114 86", "C7" 2093.00;
"255 203 92", "C#7/Db7" 2217.46;
"228 255 96", "D7" 2349.32;
"152 255 100", "D#7/Eb7" 2489.02;
"104 255 127", "E7" 2637.02;
"108 255 207", "F7" 2793.83;
"112 232 255", "F#7/Gb7" 2959.96;
"116 164 255", "G7" 3135.96;
"140 120 255", "G#7/Ab7" 3322.44;
"211 126 255", "A7" 3520.00;
"255 130 236", "A#7/Bb7" 3729.31;
"255 134 177", "B7" 3951.07;
"255 157 138", "C8" 4186.01;
"255 219 142", "C#8/Db8" 4434.92;
"237 255 146", "D8" 4698.63;
"186 255 150", "D#8/Eb8" 4978.03;
"154 255 169", "E8" 5274.04;
"160 255 224", "F8" 5587.65;
"164 240 255", "F#8/Gb8" 5919.91;
"168 198 255", "G8" 6271.93;
"184 172 255", "G#8/Ab8" 6644.88;
"228 176 255", "A8" 7040.00;
"255 180 244", "A#8/Bb8" 7458.62;
"255 184 209", "B8" 7902.13;
